	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
   VBTS_VBOF	  123	0.15%	   13	10.57% Misclassified as: VBTS-63(51.22)% | VBOF-35(28.46)% | VBTS_CCP-5(4.07)% | NNC-2(1.63)% | VBTR-2(1.63)% | JJCS_JJD-1(0.81)% | JJD_CCP-1(0.81)% | VBOF_CCP-1(0.81)% | 
    VBTR_CCP	  122	0.15%	  105	86.07% Misclassified as: VBTR-6(4.92)% | JJD_CCP-3(2.46)% | RBD_CCP-2(1.64)% | RBW_CCP-2(1.64)% | VBTS_CCP-2(1.64)% | NNC_CCP-1(0.82)% | VBTR_VBAF-1(0.82)% | 
JJCS_JJD_CCP	  112	0.14%	  107	95.54% Misclassified as: JJCS_JJN_CCP-2(1.79)% | JJCS_CCP-1(0.89)% | JJD_CCP-1(0.89)% | VBTR_CCP-1(0.89)% | 
     PRQ_CCP	  108	0.13%	  106	98.15% Misclassified as: PRI_CCP-1(0.93)% | PRSP_CCP-1(0.93)% | 
         RBP	  105	0.13%	  104	99.05% Misclassified as: RBR-1(0.95)% | 
        NNCA	  103	0.13%	   90	87.38% Misclassified as: FW-6(5.83)% | NNC-3(2.91)% | CCT-1(0.97)% | CDB-1(0.97)% | NNP-1(0.97)% | NNPA-1(0.97)% | 
        PMSC	   97	0.12%	   97	100.00% Misclassified as: 
     VBH_CCP	   97	0.12%	   96	98.97% Misclassified as: JJD_CCP-1(1.03)% | 
     PRS_CCP	   86	0.11%	   86	100.00% Misclassified as: 
         PRL	   81	0.10%	   81	100.00% Misclassified as: 
     VBN_CCP	   76	0.09%	   75	98.68% Misclassified as: RBF-1(1.32)% | 
     PRO_CCP	   71	0.09%	   69	97.18% Misclassified as: PRO-2(2.82)% | 
     JJC_CCP	   68	0.08%	   66	97.06% Misclassified as: JJD_CCP-2(2.94)% | 
    VBTS_CCP	   68	0.08%	   42	61.76% Misclassified as: VBTR_CCP-9(13.24)% | VBTS-5(7.35)% | NNC_CCP-3(4.41)% | RBD_CCP-3(4.41)% | JJD_CCP-2(2.94)% | VBOF_CCP-2(2.94)% | RBT_CCP-1(1.47)% | RBW_CCP-1(1.47)% | 
   VBTS_VBAF	   59	0.07%	    3	5.08% Misclassified as: VBAF-55(93.22)% | VBTS-1(1.69)% | 
         PRQ	   55	0.07%	   50	90.91% Misclassified as: PRI-2(3.64)% | CCB-1(1.82)% | JJD-1(1.82)% | PRC-1(1.82)% | 
        DTPP	   54	0.07%	   53	98.15% Misclassified as: NNC-1(1.85)% | 
        VBRF	   49	0.06%	   38	77.55% Misclassified as: VBTR_VBRF-9(18.37)% | JJD-1(2.04)% | VBTS-1(2.04)% | 
     RBL_CCP	   47	0.06%	   45	95.74% Misclassified as: NNC_CCP-1(2.13)% | RBL-1(2.13)% | 
     RBT_CCP	   45	0.06%	   31	68.89% Misclassified as: JJD_CCP-11(24.44)% | RBD_CCP-2(4.44)% | RBT-1(2.22)% | 
     PRP_CCP	   44	0.05%	   44	100.00% Misclassified as: 
         RBT	   43	0.05%	   34	79.07% Misclassified as: JJD-6(13.95)% | RBD-1(2.33)% | RBT_CCP-1(2.33)% | VBS-1(2.33)% | 
   VBTR_VBOF	   41	0.05%	    6	14.63% Misclassified as: VBTR-31(75.61)% | VBTR_CCP-2(4.88)% | VBTS-2(4.88)% | 
    VBOF_CCP	   37	0.05%	   21	56.76% Misclassified as: VBTS_CCP-9(24.32)% | JJD_CCP-2(5.41)% | JJCS_JJD_CCP-1(2.70)% | RBW_CCP-1(2.70)% | VBRF_CCP-1(2.70)% | VBTR_CCP-1(2.70)% | VBTS-1(2.70)% | 
        PRSP	   35	0.04%	   34	97.14% Misclassified as: NNC-1(2.86)% | 
   VBTR_VBRF	   29	0.04%	   20	68.97% Misclassified as: VBRF-7(24.14)% | VBTR-2(6.90)% | 
        JJCS	   25	0.03%	   25	100.00% Misclassified as: 
         VBN	   23	0.03%	   23	100.00% Misclassified as: 
     PRC_CCP	   22	0.03%	   21	95.45% Misclassified as: PRO_CCP-1(4.55)% | 
         PRC	   21	0.03%	   17	80.95% Misclassified as: CCB-4(19.05)% | 
