	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
    VBTF_CCP	   11	0.01%	    1	9.09% Misclassified as: JJD_CCP-3(27.27)% | RBD_CCP-3(27.27)% | VBTF-3(27.27)% | VBOF_CCP-1(9.09)% | 
   VBTF_VBOF	   11	0.01%	 null	0.00% Misclassified as: VBTF-3(27.27)% | VBOF-2(18.18)% | NNC-1(9.09)% | RBD-1(9.09)% | RBD_CCP-1(9.09)% | VBTS-1(9.09)% | VBTS_VBOF-1(9.09)% | VBW-1(9.09)% | 
     CCB_CCP	   10	0.01%	   10	100.00% Misclassified as: 
VBTR_VBAF_CCP	    9	0.01%	    5	55.56% Misclassified as: VBTR_CCP-2(22.22)% | JJD_CCP-1(11.11)% | VBTR_VBAF-1(11.11)% | 
        VBOB	    8	0.01%	    6	75.00% Misclassified as: VBOF-1(12.50)% | VBTS-1(12.50)% | 
    JJCC_CCP	    7	0.01%	    6	85.71% Misclassified as: JJCC-1(14.29)% | 
         PMQ	    7	0.01%	    3	42.86% Misclassified as: FW-3(42.86)% | PMS-1(14.29)% | 
     RBQ_CCP	    7	0.01%	    3	42.86% Misclassified as: RBQ-2(28.57)% | PRC_CCP-1(14.29)% | RBD_CCP-1(14.29)% | 
   VBTF_VBAF	    7	0.01%	 null	0.00% Misclassified as: VBAF-3(42.86)% | VBTF-2(28.57)% | VBW-2(28.57)% | 
     RBM_CCP	    6	0.01%	    1	16.67% Misclassified as: RBM-3(50.00)% | JJD_CCP-1(16.67)% | RBT_CCP-1(16.67)% | 
     JJN_CCA	    5	0.01%	    5	100.00% Misclassified as: 
      RBW_LM	    5	0.01%	    5	100.00% Misclassified as: 
     CDB_CCP	    4	0.00%	 null	0.00% Misclassified as: JJN_CCP-4(100.00)% | 
         RBS	    4	0.00%	    1	25.00% Misclassified as: JJD-1(25.00)% | NNP-1(25.00)% | NNPA-1(25.00)% | 
    VBAF_CCP	    4	0.00%	 null	0.00% Misclassified as: JJD_CCP-2(50.00)% | NNC_CCP-1(25.00)% | RBD_CCP-1(25.00)% | 
        VBOL	    4	0.00%	 null	0.00% Misclassified as: VBOF-2(50.00)% | VBTS-2(50.00)% | 
     CCR_CCA	    3	0.00%	    3	100.00% Misclassified as: 
     CCR_CCP	    3	0.00%	 null	0.00% Misclassified as: RBD_CCP-3(100.00)% | 
      CCR_LM	    3	0.00%	    3	100.00% Misclassified as: 
        JJCN	    3	0.00%	 null	0.00% Misclassified as: RBF-2(66.67)% | JJD-1(33.33)% | 
      PRP_LM	    3	0.00%	    3	100.00% Misclassified as: 
VBTR_VBRF_CCP	    3	0.00%	    1	33.33% Misclassified as: VBRF_CCP-1(33.33)% | VBTR_VBRF-1(33.33)% | 
     CCT_CCP	    2	0.00%	    2	100.00% Misclassified as: 
    JJCN_CCP	    2	0.00%	 null	0.00% Misclassified as: RBF_CCP-2(100.00)% | 
     JJD_CCA	    2	0.00%	 null	0.00% Misclassified as: JJD-1(50.00)% | JJN_CCA-1(50.00)% | 
     RBT_CCT	    2	0.00%	 null	0.00% Misclassified as: RBT_CCP-2(100.00)% | 
   VBTS_VBRF	    2	0.00%	 null	0.00% Misclassified as: VBRF-2(100.00)% | 
     CCR_CCB	    1	0.00%	 null	0.00% Misclassified as: RBD_CCP-1(100.00)% | 
     CCT_CCA	    1	0.00%	    1	100.00% Misclassified as: 
     CCU_DTP	    1	0.00%	 null	0.00% Misclassified as: RBL-1(100.00)% | 
 CDB_NNC_CCP	    1	0.00%	 null	0.00% Misclassified as: NNC_CCP-1(100.00)% | 
    JJCC_JJD	    1	0.00%	 null	0.00% Misclassified as: VBW-1(100.00)% | 
    JJCS_JJC	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD-1(100.00)% | 
JJCS_JJN_CCP	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD_CCP-1(100.00)% | 
    JJCS_RBF	    1	0.00%	    1	100.00% Misclassified as: 
   JJCS_VBOF	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD-1(100.00)% | 
   JJCS_VBTS	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD_CCP-1(100.00)% | 
    JJCS_VBW	    1	0.00%	 null	0.00% Misclassified as: JJCS_JJD-1(100.00)% | 
     JJC_JJD	    1	0.00%	 null	0.00% Misclassified as: JJCC_JJD-1(100.00)% | 
     JJD_CCB	    1	0.00%	 null	0.00% Misclassified as: JJD_CCP-1(100.00)% | 
      NNC_LM	    1	0.00%	 null	0.00% Misclassified as: FW-1(100.00)% | 
     PRI_CCB	    1	0.00%	 null	0.00% Misclassified as: PRI_CCP-1(100.00)% | 
      PRS_LM	    1	0.00%	    1	100.00% Misclassified as: 
     RBD_CCB	    1	0.00%	 null	0.00% Misclassified as: VBOF_CCP-1(100.00)% | 
 RBF_JJD_CCP	    1	0.00%	 null	0.00% Misclassified as: RBF_CCP-1(100.00)% | 
      RBF_LM	    1	0.00%	 null	0.00% Misclassified as: JJCN_LM-1(100.00)% | 
    RBF_VBTR	    1	0.00%	 null	0.00% Misclassified as: NNC-1(100.00)% | 
 RBF_VBW_CCP	    1	0.00%	 null	0.00% Misclassified as: RBF_CCP-1(100.00)% | 
      RBI_LM	    1	0.00%	 null	0.00% Misclassified as: PRS_LM-1(100.00)% | 
    RBL_NNPA	    1	0.00%	    1	100.00% Misclassified as: 
 RBL_NNP_NNP	    1	0.00%	 null	0.00% Misclassified as: RBL_NNP-1(100.00)% | 
     RBN_CCP	    1	0.00%	 null	0.00% Misclassified as: PRI_CCP-1(100.00)% | 
      RBQ_LM	    1	0.00%	 null	0.00% Misclassified as: RBQ-1(100.00)% | 
     RBR_DTP	    1	0.00%	 null	0.00% Misclassified as: RBR-1(100.00)% | 
     RBW_CCA	    1	0.00%	    1	100.00% Misclassified as: 
    VBTF_JJD	    1	0.00%	 null	0.00% Misclassified as: VBW-1(100.00)% | 
        VBTP	    1	0.00%	 null	0.00% Misclassified as: JJD-1(100.00)% | 
    VBTS_JJD	    1	0.00%	 null	0.00% Misclassified as: VBTS-1(100.00)% | 
     VBTS_LM	    1	0.00%	 null	0.00% Misclassified as: VBTS-1(100.00)% | 
VBTS_VBOF_CCP	    1	0.00%	 null	0.00% Misclassified as: VBTR_CCP-1(100.00)% | 

Average Precision: 0.6342271499690582
Average Recall: 0.6187776510851976
Accuracy: 0.9482783972552383(77389/81610)
GoldTag	PredTag	Word	Sent#	Word#
G:CCA P:CCT sa 1905 23 		Context - 65|CDB talampakan|NNC *sa|CCT* lapad|NNC ng|CCB 
G:CCA P:FW and 1825 51 		Context - nasa_timog|RBL ,|PMC *and|FW* Abobo-Doume|NNP at|CCA 
G:CCB P:CCP na 1893 29 		Context - ng|CCB nabanggit|VBTS *na|CCP* hindi|RBF pabor|JJD 
G:CCB P:CCP na 2117 20 		Context - mapanimdim|VBW sa_ibabaw|RBL *na|CCP* hubad|JJD na|CCP 
G:CCB P:CCP na 2783 7 		Context - ang|DTC lahat|PRI *na|CCP* dumaan|VBAF sa|CCT 
G:CCB P:CCT Bagaman 294 0 		Context - *Bagaman|CCT* hindi|RBF ito|PRO 
G:CCB P:CCT Kabilang 1548 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2491 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2655 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2974 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 396 0 		Context - *Kabilang|CCT* ang|DTC Institute_of_Financial_Management|NNP 
G:CCB P:CCT Kabilang 530 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT basta 2730 8 		Context - sasakyan|NNC ,|PMC *basta|CCT* mga|DTCP importanteng|JJD_CCP 
G:CCB P:JJD Kasali 2420 0 		Context - *Kasali|JJD* sa|CCT mga|DTCP 
G:CCB P:NNC kaalyansa 2855 24 		Context - at|CCA ang|DTC *kaalyansa|NNC* ay|LM winasak|VBOF 
